genotypes-garri,LOCATION,fresh ROOT WT. , WT OF PEELED ROOT. ,WT OF PEEL,WT OF DEWATERED MASH  ,WT OF CHAFF,TOASTED GARRI,GARRI YIELD%,garri.yield.plot,peeled.tuber.plot.kg,dewatered.mash.plot,chaff.plot,peel.plot,fresh.storage.root.weight.harvested,fresh weight per.netplot.kg,fry.ha,marketable.root.number,marketable.root.weight.kg,plant.stands.harvested,root.color,root.number,storage.root.shape,weight.in.air,weight.in.water,spg,dmc,starch,dmcov
NR17C2aF33P002,umudike,9.2,7.2,2.2,4.25,0.27,2.4,26.09,4.55,13.65,8.06,0.51,4.17,10.9,17.4,21.8,17.5,8.9,5,1.5,33.5,3,1415,150,1.11,34.29,21.35,40.48
NR17C2aF54P010,umudike,10,8.4,2,4.5,0.32,2.45,24.5,4.55,15.59,8.35,0.60,3.71,11.6,18.6,23.2,16.5,9.6,5,2,34,3,2910,290,1.11,33.75,20.64,37.53
NR17C2aF60P009,umudike,8.4,6.6,1.9,3.25,0.44,1.7,20.24,3.35,12.99,6.4,0.86,3.74,9.3,16.5,20.7,12,8.5,4.5,1,18.5,2.5,3530,390,1.13,36.17,23.86,42.63
NR17C2aF61P003,umudike,10,8.4,1.47,3.6,0.14,2.1,21,5.11,20.43,8.76,0.34,3.59,15.2,24.3,30.4,19,13,5,1,40.5,2.5,3050,260,1.1,31.4,17.51,28.65
NR17C2aF61P016,umudike,10,7.5,2.4,4.8,0.39,2.6,26,5.7,16.44,10.52,0.85,5.26,13.7,21.9,27.4,14,12.4,5,1.5,21,2.5,2820,250,1.1,31.7,17.91,32.24
NR17C2aF62P020,umudike,10,8.1,2,3.8,0.18,2,20,5.28,21.38,10.03,0.48,5.28,13.2,26.4,33,15,11.2,4,1.5,25.5,2.5,2940,290,1.11,33.61,20.45,32.04
NR17C2aF62P027,umudike,10,7.5,2.1,4,0.19,2.3,23,3.68,12,6.4,0.30,3.36,9,16,20,13.5,7.5,4.5,2,20.5,3,2335,225,1.11,33.12,19.8,31.97
NR17C2aF65P017,umudike,8.5,6.2,2.3,3.1,0.2,1.8,21.18,3.54,12.21,6.1,0.39,4.53,13.6,16.7,20.9,19,10.7,6.5,2,33.5,3.5,3185,260,1.09,30.53,16.34,36.54
NR17C2aF65P027,umudike,7,5.2,1.79,2.8,0.16,1.9,27.14,3.41,9.34,5.03,0.29,3.21,11,12.6,15.7,13,10,7,1,20,4,3770,350,1.1,32.5,18.97,37.91
NR17C2aF6P044,umudike,3,2.4,0.71,2,0.19,1.03,34.33,6.41,14.93,12.44,1.18,4.44,7,18.7,23.3,10,5.2,3,3,19,3,2960,255,1.09,31.16,17.19,
